1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,Labels
0,0,37.25024,0,1.258743,0,0,0,0.004778,0.771681,0,1.128175,0,0,0,0,0,0,0.184893,0,0.121069,0.220949,0.015646,0,0,0.335331,0.21744,0,0,0.303701,0.267834,0,0,0,0.252093,0.024366,0,0,0.929142,0,0,0.336573,0,0.354787,0,0.892783,0.700157,0.393052,0.024084,0,0,0,0,1.383992,0,0.012344,0,0.230021,0.4956,1.135289,0,0,0.337696,0.31819,0.917852,0,0,0.906233,0,0,0.177311,0,0.384018,0.023975,0.43292,0,0,0,0.963073,0,0.384048,0,0.579157,0.45911,4.478971,0,0,0,2.967974,0,0,0.9926,0,0,0.775213,1.001646,1.007265,0,0,1.146946,0,0,0.308125,0,6.067526,0,0,0,4.24169,5.474884,0,5.726191,0.495193,0,1.327914,9.718464,0,0,0,0,0,0,0,0,0,0.286896,0,0.174262,0.466904,0.425832,0,0,0.220118,0
0,0,0,0,19.08364,4.186918,0,0.025914,0.722178,0,0.331128,0,0.180078,0,0.285239,0,0.39521,0,0.6346,0,0.686537,0.369364,0.284641,0,0.55736,0.407556,0.195889,0,0.211943,0.295409,0,0,0.441996,0,0,0.345623,0,0.385342,0,0,1.843756,0,0,0,0,0.815938,0.431547,0,0,1.213399,0.063599,1.131357,5.077133,0,0,0,0.371778,0,1.493773,0,0,0.095306,0,0,1.162509,0,0.405758,0,0.197098,0,0.20364,0,2.198242,0,0,0.589609,0,0.317295,0,0,1.679092,0,1.371746,0.716761,0.779456,0.271832,0,0,0.018332,1.781936,2.243964,0,0,0,0,0.361343,0,2.293982,7.860907,0.793036,0.536757,0.638377,21.0769,0,0,0,0.241678,0,0,0,0,0,0,0.327084,0,3.586311,5.717803,0,0,3.292224,0,0,0,0,0.100532,1.27907,0,0.268812,0.291504,0.151343,0.947338,0,0.08267,0
0,0,0,0,25.37112,2.076422,4.462774,0,0,0,0.73951,0,0,0.430646,0,0.604777,0,0.602316,0.942761,0.875656,0,3.135494,0,0.19883,0,0.669478,0,0,0.473425,0.014359,0,0,0,1.191312,0.777976,0,1.292123,2.272503,0,0,1.387064,0,0,0.145012,0,0,0.041408,0.004642,0,3.88529,0,0,0,0,0,0.106512,0.936296,0,0,0.000219,0,0.796359,0,0,0.862172,0.180635,0.314379,0,0,0,0,1.413139,0.959877,0,0,0,1.9454,0,0.981319,3.307719,0.570154,0,0,0,0.011593,0.06975,0.748637,0.534815,0.122215,3.557081,0,0.192379,0,1.294197,5.453654,0,2.595683,0.943422,8.714945,1.979798,0,0,0,0,0,0,2.465766,0,0,0,0,0,0,0,0.254993,0,0,0,0,0.904286,0,0.882015,0.819563,0,0,0,0.920719,0,1.417882,0,0,0,0,0
0,0,0,0,23.32278,0.262438,0,0.189533,0,0.606273,1.335609,0.053144,0.958468,0,0,0,0,0,0.912699,0,0.697464,0.479457,0,0,0,0,0,0.887936,0,0.116732,0,0,0.184666,0.603422,0,0,0,0,1.085209,0,0,0.193699,0.660333,0,0,0,0.151318,1.46662,0.800673,0.183512,0,1.304728,0,0.449374,0,0.072848,0.659606,0,0.681325,1.388761,0,0.359728,0,0.026337,0,0,0.183145,0.727943,2.676275,0,1.026751,1.463131,0,0,0.084034,0.40631,0,2.735134,0,0,1.606514,0,0.692492,1.823652,0,4.081419,0,0,10.20942,0,0,15.57272,0,0,0,0,0,0,0,0,0,0,0,0,0.288018,0.164011,0,1.450291,0.108856,0,0,2.319565,0,0,0,0,0,0.118826,0,0.192015,2.102192,0.188376,0,0,0,0,0,0,0.306021,1.42376,0,0,0.231787,0
0,0,14.15868,0,0,0.015535,0,0,0,0,0,0,0,0,0,0,0,0,0.592326,0.750757,0,0,0,0.997767,0,0,0.799431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826007,0,0,0,0.010473,0,0,0,0,0,0.046654,0,1.268024,0,0,0,0,0,0,0,0.197744,0,0,0,0,1.205764,0.534385,0,0,0,0.656832,0,0,0.421078,4.498117,6.456151,0,0,0,19.17623,0,16.99672,0,0,0,0,0,0,0,0,0,0,0,0.262674,0,0,0,0,0,0.035208,0,0,0.758869,0,0.868969,0.170668,0,0,0,0,0,0,0,0,0.360398,0,0,0,0
0,0,0,27.25648,1.852916,0,1.359253,0,0,0.043924,0,0.657299,0.678232,0,0,0,0.343746,0,0,0.744729,0.412916,0,0,0,0.339889,0,0.115529,0.470131,0.197019,0,0.568292,0.20274,0,0,0,0.23964,0,0.530963,0.050493,0,0.527803,0,0,0.025244,0.697348,0.619679,0.296764,0,0.124063,0,0,0.884584,0,0.472759,0.10557,0,1.170454,0,0,1.495667,0,0.538708,0,0.018711,1.151077,1.33617,0.542416,0,0,0,0.012203,0,0.283894,0,0.476381,0,0.966558,0.882568,0,0,0,0,0,0,0.052521,0,1.114517,0.23975,0.989842,0,0.04497,0,1.412155,3.174003,0,0,0.91221,0.409335,0.484306,0,0,0,0.061829,0.134884,3.87486,0,0,0,0,1.3214,2.814601,1.025714,0,0,9.451184,0,0,0,0,0,0,0,0,0,0.773551,0.179859,1.640471,0,0,0,0,0,0,0
23.2788,13.06634,1.663964,0.500037,0,0,0.434738,1.870479,0,0,0,4.664169,0,0,0.857864,0,0,0,0,0,3.96121,0.158832,0,0,0,0,1.615181,0,0,0.633572,0,1.941771,0,0,1.11228,0,0,1.338729,2.317679,0.078347,0.181224,0.339276,0,0,0,0,0,0,0,0.101487,3.183899,1.263319,0.987015,0,0,0,0,0,0,1.517378,1.665984,0.248112,0,0,0,0,0,1.419399,0.64896,0,0,1.489759,0,0,0.568604,0,4.183151,0,0,0.251929,2.186432,0,1.533373,0,0,0,2.114298,0,0,0,0,0.34859,0.153572,0.755353,0,0,7.134068,0,1.184983,0,2.278373,0,0,0,0,0,0,0,0.204922,0,2.538744,0,0,0,1.926134,0,0.792372,0,0,0.088859,0.369482,0,0,4.22506,0,0,0,0,0,2.820872,0.253463,0,0,0
0,0,0,27.15926,0,0.092734,0.214772,0,0,0.120235,0,0,0,0,0,0,0.06436,0.098967,0,0.370028,0,0,0.522863,0.587452,0.168945,0.131887,0.06438,0.125553,0.173716,0,0,0.281614,0,0.298826,0.026468,0,0.558832,0,0.617233,0,0.396231,0,0,0.126019,0.442432,0,0.211584,0,1.605269,0,1.590105,0.079498,0,0,0.280478,0.217129,0,0.213302,0.378897,0,1.359535,0.642337,0,1.130518,0,0,0,0.370142,0,0,0.266792,0.376484,0.501537,0,0,0,0,0,0,0.269335,0.002131,0,0.564333,0,0.325409,0,0.196848,3.2661,4.221053,19.83696,0,0,0,0,0,0,0,0,0,0,0,0.322941,0.497301,0.589967,0,0.588789,0,0,0.24164,0,0.245905,0,0.193653,0.905344,0,1.212036,0.725873,0,1.304507,0.19166,0,0.6195,0,0,0,1.141829,0.68372,0,0,0,4.249645,0,0,0
35.41388,0,1.091682,0,0,0,0.012705,0.121836,0.68973,0.601759,0.223663,0,0,0,0.125723,0,0.182304,0,0,0.56355,0,0.228794,0,0,0.231222,0,0.033293,0.18021,0,0.52095,0.825367,0,0,0.065725,0.467588,0,0,0.106447,0,0,0.113987,0,0.453039,0.137965,0,1.0375,0,0,0,0.255878,0,0,0.313656,0,0.9568,0.015652,1.328083,0.912882,0.208975,0,0.387516,0.001446,0,0,0,0,0,0.192471,0.548676,0,0,0.311007,0.0301,0.737785,4.546701,1.690001,0,10.32016,0,0,6.253668,0,0,0,0.045362,0,0,0,0,0,0,0,0.196039,0.390755,0.011194,0,0.017969,0,0.018679,0.671451,0.064878,0,0.15325,0.188301,0.097528,0,0.732441,0,0.261452,0.052186,0.065042,0,0,0.838932,0,0,0.135617,0,0.094963,0.393375,0,0,0,0.013601,0.338129,0.47307,0,0,0.737856,0,0.243766,0,0.187315,0
0,33.40807,3.896901,0,0,0.343786,0.393177,1.576811,1.020007,0,0.188346,0.176128,0,0,0,0,0,0,0,0,0,0.046037,0.605825,0,0.017713,0.505011,0,0.847542,0.485092,0,0.103167,0,0,0,0.341717,0,0.002069,0,0,0.116265,0.151506,0.282427,0.163332,0.302485,0,0.171772,0.076224,0.090354,0,0,0.658371,0.248669,0,0.596682,0.402657,0.322516,0,0.865268,0,0,0.304461,0.291434,0,0,0.83212,2.668574,7.323766,1.348805,0.773297,0,0,0,0,0,0.044447,0,0,0.154184,0,0,0,0.094556,0.589075,0,0,0,0,0.414455,0,0.247447,0,0,0.631058,0,0,0.594471,0,0.685375,0.31938,0.13751,0,0.063837,0,0,0.394667,0,2.140698,0,0,1.183103,0,0,0,0,0.25776,0.806312,0,0,0.252718,1.22883,0.234161,0,0,0,0,0.087288,0.019649,0.051637,0.660425,0,0,0.882439,0,0
17.6162,19.03842,0,0,2.697021,4.660699,0,0,0,0,0,0,0,1.373051,0,0,6.859056,1.548562,0,0,0,0,0,0,0,0.501662,0,0,2.744083,4.00816,1.214181,0,0,0,0,0,0,1.523745,0,0,1.622448,4.253032,0.036116,0,0,0,0,0,0,0,0,0.256371,0,1.019043,2.572239,0,0.499416,0,0.736673,0,3.148002,8.93693,1.934431,0,0,0,0,0.705853,0.043045,0,0,0,0.988243,0,0,0,0.040735,0,0.335608,0.103962,0,0.579933,0.067482,0.600096,0.362209,0.052929,0.340694,0.324509,0.253771,0,0.453695,0,0.311868,0.007531,0,0,0.105288,0.320238,0.121194,1.329002,3.105088,0.23851,0,0,0.332923,0,0,0,0,0,2.369817,0.585722,0,0,0,0,0,0.212885,0.661124,0,0.0044,0.001951,0,0.021221,0,0,0.182528,0,0.956865,0,0,0.417564,0,0
17.15432,12.74646,0.002604,0,1.164051,0,0.616391,0,0,0,0,0,0,1.367933,0,1.057421,0.49504,0,0,0,0,1.123259,0.105091,0,0,0,0,0.181923,0.916798,0,0,0.306112,0.074992,0.172782,0,2.134062,0,0,0,0,0.593664,0,0,1.02257,0,0,0,0.423702,0.181386,0.5019,0.869904,0,0.796727,0,0.661082,0,1.380645,0,1.603759,0,1.414138,11.15822,0.782243,0,0,0,0,0,0.167532,0,0.656011,0,0,0,0,0.356064,0,0.529457,0.653478,0,0,1.306009,0,0,0,0.053436,0.115196,0.54327,0,0.368948,0,0.205447,0,0.911924,0,0,0,0,0.278761,0,0.713336,0,0,0,0.301499,0.493937,0.299463,1.341091,0,0,0,0,0.219707,0,1.670357,0,0,0,0,0.795772,0,0,0.984413,0.97701,0,0,0,0,1.400101,0.655781,0.179759,0.393925,0,0
0,16.61717,24.05166,0,0.73867,0.423725,0,2.963799,0,0.725724,0,0,0.049733,0,0,0.376274,0,0,0,0,0.655735,0,0.546616,0,0,0,0,0,1.295358,0,0,0.245045,0,0,0.05739,0,0,0.570891,0,0.382826,0,0,0.022675,0,0.388632,0,0.316903,0.186079,0.677954,0,0.958809,0,0.138579,0,0.029788,0,0.222258,0.2931,1.305817,0,0,0.609697,0,0,4.399412,3.918897,0.716391,0.889204,0,0,0,0,0,0.018007,0,0,0,0.196196,0,0,0.118073,0.028973,0.211818,0,0.203663,0,0,0,0,0.048546,0,0,0,0,0.623919,0,0.462297,0.106421,0.045591,0.307949,0,0.526026,0.182537,0,0,0.444662,0,0,0.000834,0.377987,0,0,0.361752,0,0,0.08735,0,0.466532,0,0,0,0,0.160963,0,0.681375,0,0,0.531676,0.307446,0,0.152713,0,0.325539,0
0,0,32.37643,6.394047,0,0,0,0,0,0,0.627743,0,0,0.029175,0,0,0.195848,0.896059,0.316342,0.246885,2.248964,0,0,0.615489,0,0.322187,0.300377,0,0,0.659689,0,0,0.065189,0,0,0.376507,0.025337,0,0.383167,0,0.20248,0.517637,0,0.518104,0.1636,0.147242,0.139074,0,0.765984,0,0,0.543,0,1.068986,0.22407,0,0.499159,0.329796,0.069978,0,0.40968,0,0.175415,0.046244,0.094847,0.170893,0.201017,1.342529,3.023875,0.844871,1.590798,3.493094,3.348481,0,0,0,0.096065,3.302308,0,0,0,0,0,0.419155,0,0,0,0,0,0,0,0,0,0.713821,0.109936,0,0,0,0,0,0,0.058205,0.029949,0.307608,0,0.728777,0,0.575773,0,0,0.225007,0,0.138122,0,0.383414,0.139229,0.122509,0.154522,0.741135,0,0.202118,0.154421,0.21046,0.347481,0,0,0,0,0.243414,0,0.222885,0,0.276258,0
0,0,29.73946,5.175722,0.012852,0,0,0,0.418548,0.634693,0,0.305758,0,0.107147,0,0,0,0.392396,0,0,0.615635,0.054037,0.187657,1.085832,0.261885,0.000658,0.155888,0,0.542065,0,0.604518,0.149118,0,0.739634,0,0,0,0.548424,0,0.519699,0,0.349301,0,0,0,0,0,0.268641,0.92573,0,0,0.201821,0.204113,0,0,0,0.166857,0,1.156199,0,0,0,0.124678,0,0,0,0.384629,0,0.373137,0.038048,0.207122,0,0.020944,0,3.251584,0,0,0.737652,0.740398,9.405272,0,0,0,2.028953,7.406959,0,0,0,1.578752,0,0,0,0,0,0.285337,0,0,0,0,0.273233,0,0,0,0.367597,0,0.161976,0.0145,0.205908,0.115101,0,0.475121,0,0.511154,0,0.279655,0.190205,0.072994,0,0,0.887059,0.831825,0.980317,0.046183,0,0.243849,0,0.783354,0,0.034031,1.728775,0,0,0,0
